Round,Retry Index,Algorithm,Attention Mechanism,Learning Rate,Gamma,Model File,Training File,Test File,Self-eval,Tool Usage %,Lambda,Threshold Violations,T_wt,t_FR,Eval_Score
15,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_04,N,95.241374,-38,0,922,886.0,0.9362068699999999
16,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_04,N,95.241374,-38,0,922,886.0,0.9362068699999999
17,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_04,N,95.241374,-38,0,922,886.0,0.9362068699999999
18,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_04,N,95.241374,-38,0,922,886.0,0.9362068699999999
19,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_04,N,95.241374,-38,0,922,886.0,0.9362068699999999
20,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_04,N,95.241374,-38,0,922,886.0,0.9362068699999999
1,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_06,Y,99.07249733333333,-68,0,845,836.0,0.9237835392982456
2,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_06,Y,99.07249733333333,-68,0,845,836.0,0.9237835392982456
3,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_06,Y,99.07249733333333,-68,0,845,836.0,0.9237835392982456
4,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_06,Y,99.07249733333333,-68,0,845,836.0,0.9237835392982456
5,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_06,Y,99.07249733333333,-68,0,845,836.0,0.9237835392982456
6,1,A2C,Nadaraya-Watson,0.0001,0.99,A2C_NW_IEEE_06_500_1e-04_99_12-03-15-11,IEEE_06,IEEE_06,Y,99.07249733333333,-68,0,845,836.0,0.9237835392982456
